Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPSP-F-2,1,[1][args:5-3],Fact,study,NA,Train,None,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer,False,True,None,521,15:33:13
SPSP-F-2,2,[2][args:252-6-84-12],Fact,study,NA,Train,None,{('answer'&'arg_2')},?.v:(arg_2)->answer,False,True,None,6,15:33:13
SPSP-F-2,3,[3][args:1170-9-10],Fact,study,NA,Train,None,{('answer'&)},13.0:()->answer,False,True,None,13,15:33:13
SPSP-F-2,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,15:33:13
SPSP-F-2,5,[5][args:5-151-256],Fact,study,NA,Train,None,{('answer'&)},21.0:()->answer,False,True,None,21,15:33:14
SPSP-F-2,1,[1][args:5-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer (v: None),False,True,521,521,15:33:14
SPSP-F-2,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2')},?.v:(arg_2)->answer (v: None),False,True,6,6,15:33:14
SPSP-F-2,3,[3][args:1170-9-10],Fact,practice,CORRECT,Request,...,{('answer'&)},13.0:()->answer (v: None),False,True,13.0,13,15:33:14
SPSP-F-2,4,[4][args:5-10],Fact,practice,CORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: None),False,True,100002.0,100002,15:33:14
SPSP-F-2,5,[5][args:5-151-256],Fact,practice,CORRECT,Request,...,{('answer'&)},21.0:()->answer (v: None),False,True,21.0,21,15:33:14
SPSP-F-2,1,[1][args:5-3],Fact,study,NA,Train,None,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer,False,True,None,521,15:33:15
SPSP-F-2,2,[2][args:252-6-84-12],Fact,study,NA,Train,None,{('answer'&'arg_2')},?.v:(arg_2)->answer,False,True,None,6,15:33:15
SPSP-F-2,3,[3][args:1170-9-10],Fact,study,NA,Train,None,{('answer'&)},13.0:()->answer,False,True,None,13,15:33:15
SPSP-F-2,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,15:33:15
SPSP-F-2,5,[5][args:5-151-256],Fact,study,NA,Train,None,{('answer'&)},21.0:()->answer,False,True,None,21,15:33:15
SPSP-F-2,1,[1][args:5-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer (v: None),False,True,521,521,15:33:15
SPSP-F-2,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2')},?.v:(arg_2)->answer (v: None),False,True,6,6,15:33:15
SPSP-F-2,3,[3][args:1170-9-10],Fact,practice,CORRECT,Request,...,{('answer'&)},13.0:()->answer (v: None),False,True,13.0,13,15:33:16
SPSP-F-2,4,[4][args:5-10],Fact,practice,CORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: None),False,True,100002.0,100002,15:33:16
SPSP-F-2,5,[5][args:5-151-256],Fact,practice,CORRECT,Request,...,{('answer'&)},21.0:()->answer (v: None),False,True,21.0,21,15:33:16
SPSP-F-2,1,[1][args:5-3],Fact,study,NA,Train,None,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer,False,True,None,521,15:33:16
SPSP-F-2,2,[2][args:252-6-84-12],Fact,study,NA,Train,None,{('answer'&'arg_2')},?.v:(arg_2)->answer,False,True,None,6,15:33:16
SPSP-F-2,3,[3][args:1170-9-10],Fact,study,NA,Train,None,{('answer'&)},13.0:()->answer,False,True,None,13,15:33:17
SPSP-F-2,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,15:33:17
SPSP-F-2,5,[5][args:5-151-256],Fact,study,NA,Train,None,{('answer'&)},21.0:()->answer,False,True,None,21,15:33:17
SPSP-F-2,1,[1][args:5-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer (v: None),False,True,521,521,15:33:17
SPSP-F-2,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2')},?.v:(arg_2)->answer (v: None),False,True,6,6,15:33:17
SPSP-F-2,3,[3][args:1170-9-10],Fact,practice,CORRECT,Request,...,{('answer'&)},13.0:()->answer (v: None),False,True,13.0,13,15:33:17
SPSP-F-2,4,[4][args:5-10],Fact,practice,CORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: None),False,True,100002.0,100002,15:33:17
SPSP-F-2,5,[5][args:5-151-256],Fact,practice,CORRECT,Request,...,{('answer'&)},21.0:()->answer (v: None),False,True,21.0,21,15:33:18
SPSP-F-2,1,[1][args:5-3],Fact,study,NA,Train,None,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer,False,True,None,521,15:33:18
SPSP-F-2,2,[2][args:252-6-84-12],Fact,study,NA,Train,None,{('answer'&'arg_2')},?.v:(arg_2)->answer,False,True,None,6,15:33:18
SPSP-F-2,3,[3][args:1170-9-10],Fact,study,NA,Train,None,{('answer'&)},13.0:()->answer,False,True,None,13,15:33:18
SPSP-F-2,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,15:33:18
SPSP-F-2,5,[5][args:5-151-256],Fact,study,NA,Train,None,{('answer'&)},21.0:()->answer,False,True,None,21,15:33:19
SPSP-F-2,1,[1][args:5-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer (v: None),False,True,521,521,15:33:19
SPSP-F-2,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2')},?.v:(arg_2)->answer (v: None),False,True,6,6,15:33:19
SPSP-F-2,3,[3][args:1170-9-10],Fact,practice,CORRECT,Request,...,{('answer'&)},13.0:()->answer (v: None),False,True,13.0,13,15:33:19
SPSP-F-2,4,[4][args:5-10],Fact,practice,CORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: None),False,True,100002.0,100002,15:33:19
SPSP-F-2,5,[5][args:5-151-256],Fact,practice,CORRECT,Request,...,{('answer'&)},21.0:()->answer (v: None),False,True,21.0,21,15:33:19
SPSP-F-2,1,[1][args:5-3],Fact,study,NA,Train,None,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer,False,True,None,521,15:33:20
SPSP-F-2,2,[2][args:252-6-84-12],Fact,study,NA,Train,None,{('answer'&'arg_2')},?.v:(arg_2)->answer,False,True,None,6,15:33:20
SPSP-F-2,3,[3][args:1170-9-10],Fact,study,NA,Train,None,{('answer'&)},13.0:()->answer,False,True,None,13,15:33:20
SPSP-F-2,4,[4][args:5-10],Fact,study,NA,Train,None,{('answer'&)},100002.0:()->answer,False,True,None,100002,15:33:20
SPSP-F-2,5,[5][args:5-151-256],Fact,study,NA,Train,None,{('answer'&)},21.0:()->answer,False,True,None,21,15:33:20
SPSP-F-2,1,[1][args:5-3],Fact,practice,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer (v: None),False,True,521,521,15:33:21
SPSP-F-2,2,[2][args:252-6-84-12],Fact,practice,CORRECT,Request,...,{('answer'&'arg_2')},?.v:(arg_2)->answer (v: None),False,True,6,6,15:33:21
SPSP-F-2,3,[3][args:1170-9-10],Fact,practice,CORRECT,Request,...,{('answer'&)},13.0:()->answer (v: None),False,True,13.0,13,15:33:21
SPSP-F-2,4,[4][args:5-10],Fact,practice,CORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: None),False,True,100002.0,100002,15:33:21
SPSP-F-2,5,[5][args:5-151-256],Fact,practice,CORRECT,Request,...,{('answer'&)},21.0:()->answer (v: None),False,True,21.0,21,15:33:21
SPSP-F-2,2,[2][args:360-6-135-9],Fact,posttest,INCORRECT,Request,...,[5&5],HINT,False,False,None,4,15:33:22
SPSP-F-2,4,[4][args:5-10],Fact,posttest,CORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: None),False,True,100002.0,100002,15:33:22
SPSP-F-2,2,[2][args:110-5-121-11],Fact,posttest,INCORRECT,Request,...,[5&5],HINT,False,False,None,2,15:33:22
SPSP-F-2,2,[2][args:252-6-84-12],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_2')},?.v:(arg_2)->answer (v: None),False,True,6,6,15:33:22
SPSP-F-2,3,[3][args:1170-9-10],Fact,posttest,CORRECT,Request,...,{('answer'&)},13.0:()->answer (v: None),False,True,13.0,13,15:33:22
SPSP-F-2,4,[4][args:3-15],Fact,posttest,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: None),False,False,100002.0,3380,15:33:22
SPSP-F-2,1,[1][args:10-1],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer (v: None),False,False,01,1,15:33:22
SPSP-F-2,3,[3][args:840-2-10],Fact,posttest,INCORRECT,Request,...,[5&5],HINT,False,False,None,42,15:33:22
SPSP-F-2,5,[5][args:5-151-256],Fact,posttest,CORRECT,Request,...,{('answer'&)},21.0:()->answer (v: None),False,True,21.0,21,15:33:22
SPSP-F-2,3,[3][args:693-7-3],Fact,posttest,INCORRECT,Request,...,[5&5],HINT,False,False,None,33,15:33:22
SPSP-F-2,4,[4][args:2-4],Fact,posttest,INCORRECT,Request,...,{('answer'&)},100002.0:()->answer (v: None),False,False,100002.0,18,15:33:22
SPSP-F-2,2,[2][args:252-6-84-12],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_2')},?.v:(arg_2)->answer (v: None),False,True,6,6,15:33:22
SPSP-F-2,1,[1][args:5-3],Fact,posttest,CORRECT,Request,...,{('answer'&'arg_1'&'arg_2')},Inverse(Pow(?.v&?.v)):(arg_1&arg_2)->answer (v: None),False,True,521,521,15:33:22
