Agent,Concept,Problem,Knowledge,Type,Result,Action,When-Part,Where-Part,How-Part,Intermediate,Seen,AL Ans,Correct Ans,Time
SPPP-S-4,2,[2][args:88-11-48-6],Skill,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,1,13:24:45
SPPP-S-4,3,[3][args:308-4-7],Skill,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,11,13:24:48
SPPP-S-4,4,[4][args:2-18],Skill,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,333,13:24:51
SPPP-S-4,5,[5][args:5-151-256],Skill,practice,INCORRECT,Request,...,[0&0],HINT,False,True,None,21,13:24:59
SPPP-S-4,2,[2][args:441-7-372-124],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_2'&'arg_2_concept_2'&'arg_3_concept_2'&'arg_3_concept_2')},Subtract(Divide(?.v&?.v)&Subtract(?.v&?.v)):(arg_2_concept_2&arg_2_concept_2&arg_3_concept_2&arg_3_concept_2)->answer (v: 0.679),False,False,1,21,13:24:59
SPPP-S-4,2,[2][args:441-7-372-124],Skill,practice,NA,Train,None,{('answer'&'arg_2_concept_2'&'arg_2_concept_2'&'arg_2_concept_2')},Add(?.v&Add(?.v&?.v)):(arg_2_concept_2&arg_2_concept_2&arg_2_concept_2)->answer,False,False,None,21,13:25:13
SPPP-S-4,3,[3][args:312-13-4],Skill,practice,CORRECT,Request,...,{('answer'&'arg_1_concept_3'&'arg_2_concept_3'&'arg_3_concept_3')},Divide(Divide(?.v&?.v)&?.v):(arg_1_concept_3&arg_2_concept_3&arg_3_concept_3)->answer (v: 0.679),False,False,6,6,13:25:13
SPPP-S-4,4,[4][args:3-12],Skill,practice,INCORRECT,Request,...,{('answer'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_2_concept_4'&'arg_1_concept_4')},Add(Multiply(?.v&?.v)&Divide(?.v&?.v)):(arg_2_concept_4&arg_2_concept_4&arg_2_concept_4&arg_1_concept_4)->answer (v: 0.685),False,False,148,1732,13:25:20
SPPP-S-4,4,[4][args:3-12],Skill,practice,NA,Train,None,{('answer'&)},1732.0:()->answer,False,False,None,1732,13:25:37
SPPP-S-4,5,[5][args:13-98-163],Skill,practice,CORRECT,Request,...,{('answer'&'arg_3_concept_5'&'arg_2_concept_5'&'arg_1_concept_5')},Divide(Subtract(?.v&?.v)&?.v):(arg_3_concept_5&arg_2_concept_5&arg_1_concept_5)->answer (v: 0.685),False,False,5,5,13:25:37
